"","id","values","ID","Functional","Treatmentb","STREETNAME","PlanActivi","From1","BeginningS","EndingStat","PavementWi","Length","To1","NPR","OCI","ExtendedCo","Route_ID","Inspection"
"323","323",10,"586","RT - Residential Local","SI","WALLACE ST","(SI) 2"" Mill & Overlay Local w/ramps","HOLLAND ST",0,1417,26,1417,"BROADWAY (E)",57.96,41.64,339028.64,586,"2014/11/05"
"324","324",8,"595","RT - Residential Local","SI","WARWICK ST","(SI) 2"" Mill & Overlay Local w/ramps","CEDAR ST",0,965,26,965,"CLYDE ST",57.96,41.64,230883.94,595,"2014/10/27"
"325","325",4,"627","RT - Residential Local","PM","WILTON ST","(PM) Pavement Patching","LOWELL ST",0,509,24,509,"HINCKLEY ST",51.29,63.32,27078.73,627,"2012/07/02"
"326","326",2,"632","RT - Residential Local","SI","WINSLOW AVE","(SI) 2"" Mill & Overlay Local w/ramps","COLLEGE AVE",0,1184,27,1184,"CLIFTON ST",59.02,38.2,294176.64,632,"2014/11/18"
"327","327",8,"657","AR - Arterial","DN","BROADWAY (W)","Do Nothing","ALFRED A LOMBARDI WY",0,2161,35,2161,"CROSS ST EAST",56.99,99.79,0,657,"2012/10/19"
"328","328",6,"657.5","AR - Arterial","SI","BROADWAY (W)","(SI) 3"" Mill & Overlay Art/Col w/ramps","BOND ST",5676,6317,32,641,"CENTRAL ST",76.11,37.64,223899.77,657,"2012/10/19"
"329","329",7,"988","RT - Residential Local","SI","BROMFIELD RD","(SI) 2"" Mill & Overlay Local w/ramps","WARNER ST",0,1316,26.5,1316,"DEARBORN RD",61.33,30.67,320918.39,988,"2014/10/27"
"330","330",7,"993","RT - Residential Local","PM","BURNHAM ST","(PM) Pavement Patching","BROADWAY",0,625,26,625,"POWDER HOUSE BLVD",53.88,54.88,36020.92,993,"2014/11/12"
"331","331",1,"46","RT - Residential Local","PM","BEECH ST","(PM) Pavement Patching","ATHERTON ST",0,380,26.5,380,"SOMERVILLE AVE",52.75,58.56,22321.86,46,"2012/09/28"
"332","332",3,"458","RT - Residential Local","SI","PENNSYLVANIA AVE","(SI) 2"" Mill & Overlay Local w/ramps","BROADWAY (W)",0,1511,26.5,1511,"DEAD END",59.18,37.65,368471.15,458,"2012/10/05"
"333","333",2,"74","RT - Residential Local","PM","BRISTOL RD","(PM) Pavement Patching","MEDFORD TOWNLINE",0,194,26,194,"BROADWAY (E)",50.09,67.22,11180.78,74,"2014/11/25"
